sample_id,scene,metric,spconv_k0,spconv_k1,spconv_k3,spconv_k5,spconv_gain,official_flex_k0,official_flex_k1,official_flex_k3,official_flex_k5,official_flex_gain,official_minus_spconv,official_gain_over_spconv,spconv_outcome,official_outcome
ai_003_010_cam_00_frame.0000,ai_003_010,native_disparity_mae,0.07047639787197113,0.06993472576141357,0.07014325261116028,0.07220771908760071,0.00033314526081085205,0.07047639787197113,0.06445109099149704,0.06254114210605621,0.06224808841943741,0.007935255765914917,-0.007602110505104065,0.007602110505104065,win,win
ai_003_010_cam_00_frame.0077,ai_003_010,native_disparity_mae,0.03493084758520126,0.032185833901166916,0.030108895152807236,0.030628636479377747,0.004821952432394028,0.03493084758520126,0.024889405816793442,0.02161419577896595,0.02343345619738102,0.013316651806235313,-0.008494699373841286,0.008494699373841286,win,win
ai_003_010_cam_01_frame.0051,ai_003_010,native_disparity_mae,0.019556771963834763,0.016319507732987404,0.016469374299049377,0.025119028985500336,0.003087397664785385,0.019556771963834763,0.010980436578392982,0.011959102936089039,0.014214024879038334,0.007597669027745724,-0.004510271362960339,0.004510271362960339,win,win
ai_004_003_cam_00_frame.0026,ai_004_003,native_disparity_mae,0.15649428963661194,0.1558179408311844,0.1596543788909912,0.16382066905498505,-0.0031600892543792725,0.15649428963661194,0.1590566784143448,0.16352050006389618,0.16656161844730377,-0.007026210427284241,0.0038661211729049683,-0.0038661211729049683,loss,loss
ai_004_003_cam_01_frame.0000,ai_004_003,native_disparity_mae,0.3279770314693451,0.3204417824745178,0.3055834174156189,0.29105108976364136,0.022393614053726196,0.3279770314693451,0.2654370069503784,0.18586866557598114,0.1573663055896759,0.14210836589336395,-0.11971475183963776,0.11971475183963776,win,win
ai_004_003_cam_01_frame.0075,ai_004_003,native_disparity_mae,0.04170786216855049,0.03768007829785347,0.034721873700618744,0.03716301545500755,0.0069859884679317474,0.04170786216855049,0.025764647871255875,0.025011513382196426,0.025812368839979172,0.016696348786354065,-0.009710360318422318,0.009710360318422318,win,win
ai_004_004_cam_00_frame.0050,ai_004_004,native_disparity_mae,0.10093429684638977,0.1001749113202095,0.10127431899309158,0.10508676618337631,-0.00034002214670181274,0.10093429684638977,0.11540607362985611,0.11652366071939468,0.11790719628334045,-0.015589363873004913,0.0152493417263031,-0.0152493417263031,loss,loss
ai_004_004_cam_01_frame.0024,ai_004_004,native_disparity_mae,0.0356467179954052,0.02731274627149105,0.013455081731081009,0.013806899078190327,0.022191636264324188,0.0356467179954052,0.008724919520318508,0.00817503035068512,0.010482286103069782,0.027471687644720078,-0.005280051380395889,0.005280051380395889,win,win
ai_004_004_cam_01_frame.0099,ai_004_004,native_disparity_mae,0.10591945797204971,0.10590243339538574,0.10662239044904709,0.10832206904888153,-0.0007029324769973755,0.10591945797204971,0.10025196522474289,0.09659062325954437,0.09471163898706436,0.00932883471250534,-0.010031767189502716,0.010031767189502716,loss,win
ai_004_010_cam_01_frame.0023,ai_004_010,native_disparity_mae,0.0734625980257988,0.0691317543387413,0.0629427582025528,0.061924971640110016,0.010519839823246002,0.0734625980257988,0.056035105139017105,0.05362053960561752,0.051959920674562454,0.019842058420181274,-0.009322218596935272,0.009322218596935272,win,win
ai_005_005_cam_00_frame.0017,ai_005_005,native_disparity_mae,0.1315288543701172,0.12795241177082062,0.12269148230552673,0.118523508310318,0.008837372064590454,0.1315288543701172,0.13098643720149994,0.13459062576293945,0.13782623410224915,-0.0030617713928222656,0.01189914345741272,-0.01189914345741272,win,loss
ai_005_005_cam_00_frame.0092,ai_005_005,native_disparity_mae,0.10566576570272446,0.10729428380727768,0.11190365254878998,0.11773263663053513,-0.006237886846065521,0.10566576570272446,0.130071222782135,0.13606330752372742,0.14077720046043396,-0.03039754182100296,0.02415965497493744,-0.02415965497493744,loss,loss
ai_006_007_cam_00_frame.0066,ai_006_007,native_disparity_mae,0.04172274097800255,0.03826471418142319,0.034871503710746765,0.03522457182407379,0.006851237267255783,0.04172274097800255,0.015117155387997627,0.014542289078235626,0.017923597246408463,0.027180451899766922,-0.02032921463251114,0.02032921463251114,win,win
