metric,scene,images,official_gain
local_point_rel,ai_015_001,1,-0.0007510756840929389
local_point_rel,ai_015_004,2,0.00902851002423891
local_point_rel,ai_016_001,1,-0.0017433461422721556
local_point_rel,ai_016_004,1,0.0022784853354096413
local_point_rel,ai_017_007,3,-0.00027390867013089154
local_point_rel,ai_018_005,3,0.0009442496285330323
local_point_rel,ai_019_008,1,-0.0024003672879189253
local_point_rel,ai_022_010,1,0.001959392917342484
local_point_rel,ai_023_003,3,0.0012029030541371966
local_point_rel,ai_024_012,1,0.0003526873705494704
local_point_rel,ai_024_013,2,-0.00011577346983055337
local_point_rel,ai_028_008,1,0.001028230743637934
local_point_rel,ai_030_008,1,0.0026639126202402004
local_point_rel,ai_031_004,1,0.0007561203092336655
local_point_rel,ai_031_010,2,-0.0008028355310671018
local_point_rel,ai_032_007,1,0.001861136284117635
local_point_rel,ai_035_003,1,0.004075548145920038
local_point_rel,ai_035_004,1,0.0004903522785753012
local_point_rel,ai_038_009,2,-0.00014954351471981563
local_point_rel,ai_039_003,3,0.0011040061695018297
local_point_rel,ai_041_003,1,-0.00022804151432445283
local_point_rel,ai_044_001,3,0.0012674768388803517
local_point_rel,ai_044_003,4,-3.453739521898022e-05
local_point_rel,ai_045_008,3,0.0013659691062962841
local_point_rel,ai_046_005,1,-0.00010132091119885445
local_point_rel,ai_047_009,1,0.002672309428453444
local_point_rel,ai_048_001,5,-6.193341510934842e-05
local_point_rel,ai_050_002,7,0.001041800936739112
local_point_rel,ai_051_004,7,-0.00014224548978343992
local_point_rel,ai_052_001,3,0.0005591440043134383
local_point_rel,ai_052_003,3,4.105767503561943e-05
local_point_rel,ai_052_007,2,0.0021100852560872836
local_point_rel,ai_053_003,2,0.0015820956671029913
local_point_rel,ai_053_005,1,0.0010069562367310634
local_point_rel,ai_055_009,3,0.00048657965865762237
affine_depth_rel,ai_003_010,3,0.004370439797639847
affine_depth_rel,ai_004_003,3,0.0007466524839401245
affine_depth_rel,ai_004_004,3,0.004152862975994746
affine_depth_rel,ai_004_010,1,0.00021572411060333252
affine_depth_rel,ai_005_005,2,-0.00045528635382652283
affine_depth_rel,ai_006_007,1,0.01030285656452179
affine_depth_rel,ai_007_001,3,0.0029815671344598136
affine_depth_rel,ai_009_007,1,0.010740181431174278
affine_depth_rel,ai_009_009,1,0.0115400031208992
affine_depth_rel,ai_010_007,2,0.0074880714528262615
affine_depth_rel,ai_012_005,1,0.010068003088235855
affine_depth_rel,ai_015_001,1,-0.00011914782226085663
affine_depth_rel,ai_015_004,2,0.003356275148689747
affine_depth_rel,ai_016_001,1,0.001131393015384674
affine_depth_rel,ai_016_004,1,-0.00431380420923233
affine_depth_rel,ai_017_007,3,0.0026552664736906686
affine_depth_rel,ai_018_005,3,8.196383714675903e-05
affine_depth_rel,ai_019_008,1,-0.0035761818289756775
affine_depth_rel,ai_022_010,1,0.0027112439274787903
affine_depth_rel,ai_023_003,3,0.010948697415490946
affine_depth_rel,ai_024_012,1,0.0034481175243854523
affine_depth_rel,ai_024_013,2,-0.005662926472723484
affine_depth_rel,ai_028_008,1,0.003184959292411804
affine_depth_rel,ai_030_008,1,0.005125837400555611
affine_depth_rel,ai_031_004,1,-0.006837416440248489
affine_depth_rel,ai_031_010,2,-0.003563452512025833
affine_depth_rel,ai_032_007,1,0.019140996038913727
